%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
C._A._R._Hoare,Barbara_Liskov
C._A._R._Hoare,Barry_Boehm
C._A._R._Hoare,Bertrand_Meyer
C._A._R._Hoare,Charles_Bachman
C._A._R._Hoare,Charles_P._Thacker
C._A._R._Hoare,Christopher_Strachey
C._A._R._Hoare,Cliff_Jones_(computer_scientist)
C._A._R._Hoare,Dana_Scott
C._A._R._Hoare,David_Parnas
C._A._R._Hoare,Dennis_Ritchie
C._A._R._Hoare,Donald_Knuth
C._A._R._Hoare,Douglas_Engelbart
C._A._R._Hoare,E._Allen_Emerson
C._A._R._Hoare,Edgar_F._Codd
C._A._R._Hoare,Edmund_M._Clarke
C._A._R._Hoare,Edsger_Dijkstra
C._A._R._Hoare,Edward_Feigenbaum
C._A._R._Hoare,Edward_Yourdon
C._A._R._Hoare,Fernando_J._Corbat%C3%B3
C._A._R._Hoare,Frances_E._Allen
C._A._R._Hoare,Fred_Brooks
C._A._R._Hoare,Grady_Booch
C._A._R._Hoare,He_Jifeng
C._A._R._Hoare,Herbert_A._Simon
C._A._R._Hoare,Ivan_Sutherland
C._A._R._Hoare,Ivar_Jacobson
C._A._R._Hoare,James_H._Wilkinson
C._A._R._Hoare,James_Rumbaugh
C._A._R._Hoare,Jim_Gray_(computer_scientist)
C._A._R._Hoare,John_Backus
C._A._R._Hoare,John_Cocke
C._A._R._Hoare,John_Hopcroft
C._A._R._Hoare,John_McCarthy_(computer_scientist)
C._A._R._Hoare,Jonathan_Bowen
C._A._R._Hoare,Joseph_Sifakis
C._A._R._Hoare,Judea_Pearl
C._A._R._Hoare,Juris_Hartmanis
C._A._R._Hoare,Kenneth_E._Iverson
C._A._R._Hoare,Kristen_Nygaard
C._A._R._Hoare,Leonard_Adleman
C._A._R._Hoare,Leslie_Lamport
C._A._R._Hoare,Leslie_Valiant
C._A._R._Hoare,Manuel_Blum
C._A._R._Hoare,Martin_Fowler
C._A._R._Hoare,Marvin_Minsky
C._A._R._Hoare,Michael_O._Rabin
C._A._R._Hoare,Michael_Stonebraker
C._A._R._Hoare,Niklaus_Wirth
C._A._R._Hoare,Ole-Johan_Dahl
C._A._R._Hoare,Peter_Naur
C._A._R._Hoare,Raj_Reddy
C._A._R._Hoare,Richard_E._Stearns
C._A._R._Hoare,Richard_Hamming
C._A._R._Hoare,Richard_Karp
C._A._R._Hoare,Robert_Tarjan
C._A._R._Hoare,Robin_Milner
C._A._R._Hoare,Ron_Rivest
C._A._R._Hoare,Shafi_Goldwasser
C._A._R._Hoare,Silvio_Micali
C._A._R._Hoare,Stephen_Cook
C._A._R._Hoare,Tom_DeMarco
C._A._R._Hoare,Vint_Cerf
C._A._R._Hoare,Watts_Humphrey
